X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.11961682885922,49.19951345,17.02.2010,"76829",Landau,"Industriestraße,13","24,84","7893","19955,333","803",building,yes
8.0766834,49.1655271,01.03.2010,"76829",Landau,Jakob-Becker-Str. 14,"8,14","8551","7752","952",highway,residential
8.09007885,49.19347085,01.03.2010,"76829",Landau,"Ramburgstraße,13","10,175","9132","10090,667","991",building,yes
8.10193777303556,49.13555015,19.03.2010,"76829",Landau,"Hindenburgstraße,12","14,4","11638","12302,333","854",building,yes
8.1124517,49.1889412,19.03.2010,"76829",Landau,"Willy-Brandt-Straße,20","6,8","5425","5847","859",building,yes
8.1409975039932,49.2069835,23.03.2010,"76829",Landau,"Berliner Straße,6","3","3451","3749,667","1249",building,yes
8.13324750256639,49.2090679,01.04.2010,"76829",Landau,"Fassendeichstraße,10","8,49","8852","9311,333","1096",building,yes
8.09993325,49.20029435,15.04.2010,"76829",Landau,"Im Löhl,16,b","6,3","5692","6304","1000",building,yes
8.14326042987717,49.20460825,20.04.2010,"76829",Landau,"Münchener Straße,36","4","4114","3039,667","759",building,yes
8.12395531787846,49.20010045,23.04.2010,"76829",Landau,"Industriestraße,18,0","128,25","130300","141879,167","1106",amenity,public_building
8.1540199433096,49.22137505,29.04.2010,"76829",Landau,Falkenstraße 14,"9,6","10260","11075","1153",building,yes
8.1151766,49.1843607,11.05.2010,"76829",Landau,"Am Birnbach,6","8,835","8525","9405","1064",highway,residential
8.0997741,49.1961988,20.05.2010,"76829",Landau,"Kanalweg,26","4,5","4593","4744,667","1054",highway,residential
8.1117886,49.18850535,20.05.2010,"76829",Landau,"Alcide-de-Gasperi-Straße,28","3,8","3375","3667,333","965",building,yes
8.11189167649948,49.18851115,20.05.2010,"76829",Landau,"Alcide-de-Gasperi-Straße,30","3,8","3592","3874,667","1019",building,yes
8.1321548,49.20366795,21.05.2010,"76829",Landau,"Horststraße,99","7,68","7187","7919,333","1031",amenity,place_of_worship
8.09366916622697,49.1947153,21.05.2010,"76829",Landau,"Rudolf-von-Habsburg-Straße,49","7,56","6766","7325,667","969",building,yes
8.15421677697104,49.21712925,28.05.2010,"76829",Landau,Himmelmannring 29,"7,65","7637","8255","1079",building,yes
8.13365415,49.2028522,28.05.2010,"76829",Landau,"Pommernstraße,11","3,42","2432","2963,667","866",building,yes
8.0889543,49.1909473,28.05.2010,"76829",Landau,"Oberehnheimer Straße,10","5,5","5252","5835,667","1061",highway,residential
8.10954007342009,49.21050165,31.05.2010,"76829",Landau,"Bornbachstraße,2","412,16","350506","372418","903",building,yes
8.0926426,49.189046,02.06.2010,"76829",Landau,"Münsterstraße,7","5,76","5278","7564,667","1313",highway,residential
